track_id,title,artist
7E4sdzJDrVMu8qcwyxz3vP,Sawarne Lage,"Tanishk Bagchi, Jubin Nautiyal"
5VSJ9OfZx8V91A7u8Fuoh1,Aaoge Tum Kabhi,The Local Train
39es2uqzKE5p6dwL6OjAZh,Chan Kitthan,"Ayushmann Khurrana, Rochak Kohli"
5H3z9m3njodfExlWBeaFg7,"Mere Naam Tu (From ""Zero"")","Abhay Jodhpurkar, Ajay-Atul"
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon"
2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani"
1wAMjuwA0L8JPLPr7KiYCm,Yaariyaan,"Mohan Kannan, Shilpa Rao"
0rk2X5TAhraBC5aCIXK2Rq,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
7ltu5scschhmNWp5rp8rVF,,
6h09y5UH6sDRERJALlaJPi,"Jeena Jeena (From ""Badlapur"")",Atif Aslam
1fkjRQA8wXPPyxqYLbxuqy,Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal"
1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara"
2si0ZNx4yRbggTvrIom8A2,Paniyon Sa,"Rochak Kohli, Atif Aslam, Tulsi Kumar"
4cNbz1UdBCrnGOg0NNP1iF,,
4r8JqkhpTb5tzSKKHnVJIJ,Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak"
0ojpEubhy4JNeVftmVuiN7,Pehla Pyaar,"Armaan Malik, Vishal Mishra, Irshad Kamil"
5cJJdUtacwBrphoMjh3tKG,Believe,When Chai Met Toast
3bZPdEskcnMdepwCaDSJRl,Bin Tere,"Vishal-Shekhar, Shafqat Amanat Ali, Sunidhi Chauhan"
3fPgIknlkDWXs1l2noKZbp,Kar Gayi Chull,"Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar"
6q7bXTv3yBedHblKRoC5uu,Kadam,Prateek Kuhad
4bD9z9qa4qg9BhryvYWB7c,Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj"
14eotumM24MhIgzidgN3Jx,Khaabon Ke Parinday,"Alyssa Mendonsa, Mohit Chauhan"
6Nqg57G2JkMimLblrb1TY5,Woh Din (Film Version),"Pritam, TUSHAR JOSHI"
0GQngE2rOYvlKwEQjTAsP8,Subhanallah,"Pritam, Sreeram, Shilpa Rao"
1sYC1fG7s4p0pTykrJqmgW,Kyon,"Pritam, Papon, Sunidhi Chauhan"
6gwnKOvdBKkTU4CQ7KpIAu,"Bandeya - From ""Dil Juunglee""","Shaarib Toshi, Arijit Singh"
57ybIjaksLjhwgNNwGkUr1,"Besabriyaan (From ""M.S.Dhoni - The Untold Story"")",Armaan Malik
46elU7IBKWf55D5sjHGqO7,Dil Dhadakne Do,"Joi Barua, Suraj Jagan"
7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,"Pritam, Mohit Chauhan, Irshad Kamil"
1H5TcdTdMYvOfJ31SAA6H5,Kaisey Jiyun,The Local Train
4mjTMmz0j6Wl3GhODoPqTx,Hoor,"Sachin-Jigar, Atif Aslam"
0H2iJVgorRR0ZFgRqGUjUM,Channa Mereya,"Pritam, Arijit Singh"
5K5kYg6D3rOks7NyLpziTU,"Judaai (From ""Badlapur)","Rekha Bhardwaj, Arijit Singh"
4OcvkkpF3xmyCGGY5IBlgi,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar"
0zHZSO80CTxNtvtRhveHRJ,,
